platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:19.188Z,歩行,部屋の中,false,80.9,23.8,7.7,-1.9000000000000001,3.7,7.800000000000001,-0.7000000000000001,-0.30000000000000004,-1.1,-2.7,9.100000000000001,-9
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:19.396Z,歩行,部屋の中,false,85.4,30.400000000000002,-8.9,1.2000000000000002,5.1000000000000005,7.7,-0.1,0.1,-0.7000000000000001,7.200000000000001,-12.299999999999999,-2.6
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:19.597Z,歩行,部屋の中,false,83.80000000000001,32.800000000000004,-9.5,1.4000000000000001,5.9,9.1,0.1,0.5,0.9,17.5,-2.7,-12.7
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:19.798Z,歩行,部屋の中,false,83.30000000000001,40.5,-10.8,1.8,7.9,7.300000000000001,0.30000000000000004,1.4000000000000001,-0.2,55.400000000000006,-2.3,-10.700000000000001
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:19.998Z,歩行,部屋の中,false,81.60000000000001,54.300000000000004,-12,0.7000000000000001,6.6000000000000005,4.9,-0.5,-1.5,-0.9,62.900000000000006,-17,-16.3
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:20.199Z,歩行,部屋の中,false,80.7,62.400000000000006,-14.600000000000001,-0.2,5.300000000000001,1.7000000000000002,-1.3,-3.4000000000000004,-2.7,28.200000000000003,-20.599999999999998,7.9
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:20.401Z,歩行,部屋の中,false,83.4,51.900000000000006,-17.8,-1.4000000000000001,1.8,5.2,-3.1,-5.7,-0.2,-92.90000000000002,-11.1,28.800000000000004
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:20.603Z,歩行,部屋の中,false,87.80000000000001,30.400000000000002,-27.900000000000002,7.300000000000001,9,11.8,3.4000000000000004,4.1000000000000005,4.4,-79.7,-6.699999999999999,30.599999999999998
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:20.804Z,歩行,部屋の中,false,84.30000000000001,28.1,-19.900000000000002,4.2,7.9,9.3,1.2000000000000002,3,1,28.200000000000003,32.300000000000004,-28
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:21.011Z,歩行,部屋の中,false,78.4,41.400000000000006,-10.5,3,8.6,10.4,1,1.5,3.3000000000000003,75.9,33.400000000000006,-52.900000000000006
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:21.214Z,歩行,部屋の中,false,63.5,67.2,1.7000000000000002,-1,5,4.2,-1,-4.4,0,96,19.9,-41.4
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:21.414Z,歩行,部屋の中,false,61.5,75.60000000000001,6.800000000000001,-3.2,1.1,-0.4,-2.9000000000000004,-8.3,-2.7,-45.400000000000006,41.6,41.300000000000004
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:21.615Z,歩行,部屋の中,false,91,51.800000000000004,-22.5,4.4,3.2,5.4,2.4000000000000004,-4.2,0.4,-125.4,-38.800000000000004,103.00000000000001
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:05:21.816Z,歩行,部屋の中,false,90,18.1,-22.3,6.5,9.9,14.3,3,6.6000000000000005,6,-121.2,2.9,12.8
