platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:44:58.256Z,直立,部屋の中,false,324.20000000000005,32,-0.5,0.2,5.4,8.3,0.1,0,-0.30000000000000004,-3.4,-5.500000000000001,-0.30000000000000004
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:44:58.458Z,直立,部屋の中,false,308.8,41,-10.700000000000001,1.4000000000000001,6.800000000000001,7.5,0,0.1,-0.2,21.500000000000004,-1.8000000000000003,6.699999999999999
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:44:58.664Z,直立,部屋の中,false,309.5,42.2,-9.9,1.2000000000000002,6.800000000000001,8,-0.1,-0.1,0.5,9.700000000000001,7,1.3
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:44:58.865Z,直立,部屋の中,false,318.40000000000003,52.900000000000006,-12,-0.9,7.800000000000001,7.5,-1.9000000000000001,-0.30000000000000004,2,76.3,58.1,37.800000000000004
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:44:59.065Z,直立,部屋の中,false,331.1,67.9,-9.1,2.3000000000000003,8.6,5.300000000000001,2.1,-0.8,0.30000000000000004,65.6,52.7,27.3
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:44:59.272Z,直立,部屋の中,false,335,68.8,-12.3,4.2,6.800000000000001,3.6,4,-2.4000000000000004,-0.6000000000000001,-24.8,-90.5,-49.300000000000004
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:44:59.473Z,直立,部屋の中,false,313.6,63,-16,-4.9,9.8,4.9,-6.300000000000001,0.8,0.4,-35.8,-107.8,-6.600000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:44:59.674Z,直立,部屋の中,false,306.7,62,-6.300000000000001,-2.3000000000000003,8,7.300000000000001,-2.5,-1.1,2.5,40.9,138.20000000000002,18
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:44:59.876Z,直立,部屋の中,false,324.70000000000005,65.5,1.8,11,10.200000000000001,3.2,11.100000000000001,0.9,-1.1,-14,44.5,4.2
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:00.077Z,直立,部屋の中,false,322.8,64.7,-12.8,2.4000000000000004,8.4,6.1000000000000005,1.1,-0.7000000000000001,2.1,-12.9,-136.2,-19
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:00.284Z,直立,部屋の中,false,323.6,65.4,-35.300000000000004,-7.800000000000001,11.200000000000001,7.1000000000000005,-9.700000000000001,2.1,3.1,24.900000000000002,6.9,24.200000000000003
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:00.484Z,直立,部屋の中,false,323.40000000000003,71.4,-9.9,-0.4,7.1000000000000005,4.5,-1.4000000000000001,-2.7,0.9,18.200000000000003,151.20000000000002,11.700000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:00.685Z,直立,部屋の中,false,336.90000000000003,69.10000000000001,-10.3,8.5,9,3.6,7.6000000000000005,-0.8,0.1,-46.300000000000004,-26.000000000000004,-92.50000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:00.886Z,直立,部屋の中,false,311.8,71.3,-18.2,-2.8000000000000003,7.9,5.800000000000001,-3.9000000000000004,-1.6,2.7,-0.30000000000000004,-179.2,-3.1
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:01.086Z,直立,部屋の中,false,313.40000000000003,73.5,-26.8,-1.8,9.700000000000001,4.4,-2.5,-0.1,1.9000000000000001,67.4,109.50000000000001,27
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:01.287Z,直立,部屋の中,false,340.70000000000005,76.9,-21.900000000000002,4.800000000000001,6.6000000000000005,3.2,4,-3.4000000000000004,1.6,-24.400000000000002,151.6,28.200000000000003
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:01.488Z,直立,部屋の中,false,356.8,74.9,-40,5.800000000000001,8.6,3,3.8000000000000003,-1.4000000000000001,1.2000000000000002,-24.5,-147.2,-54.9
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:01.694Z,直立,部屋の中,false,338.3,72.10000000000001,-58.800000000000004,-5.800000000000001,12.3,6.4,-7.2,2.8000000000000003,3.4000000000000004,-73.30000000000001,-27.9,7.400000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:01.894Z,直立,部屋の中,false,344.1,77,-49,2.6,9.700000000000001,3.9000000000000004,0.6000000000000001,-0.30000000000000004,2.6,87.3,152,-13.100000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:02.095Z,直立,部屋の中,false,16.7,79.7,-56.800000000000004,10.4,8.8,0.30000000000000004,8.4,-1.5,0.5,22.000000000000004,-7.500000000000001,15.5
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:02.302Z,直立,部屋の中,false,359.6,76.2,-60,2.5,9.200000000000001,2.6,0.4,-0.7000000000000001,1.4000000000000001,-55,-154.7,-6.600000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:02.504Z,直立,部屋の中,false,324.70000000000005,70.60000000000001,-41.800000000000004,-3.5,12,6.7,-5,2.4000000000000004,4.1000000000000005,37,55.1,6.1000000000000005
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:02.705Z,直立,部屋の中,false,339.1,75.3,-29.6,8.700000000000001,9.600000000000001,2.7,7.5,-0.1,0.6000000000000001,-3.1,141.8,22.9
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:02.905Z,直立,部屋の中,false,350.70000000000005,75.9,-42.5,5.800000000000001,8.9,3.4000000000000004,4,-1,1,-0.7,-128.4,-18.3
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:03.106Z,直立,部屋の中,false,326,69.9,-47.400000000000006,-3.2,10.200000000000001,5.6000000000000005,-5.6000000000000005,0.6000000000000001,2.9000000000000004,-73.9,-101.7,16.5
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:03.307Z,直立,部屋の中,false,319.1,71.5,-33.6,0.2,10,4.4,-1.7000000000000002,0.2,1.4000000000000001,30.699999999999996,145.60000000000002,-28.700000000000003
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:03.508Z,直立,部屋の中,false,327.3,75.60000000000001,-17.2,10,9.8,1.1,9.3,-0.1,-1.3,6.500000000000001,36.400000000000006,12.4
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:03.709Z,直立,部屋の中,false,329.3,71.8,-30.8,1.6,8.5,4.9,-0.1,-1.1,2.2,-19.799999999999997,-146,17.7
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:45:03.910Z,直立,部屋の中,false,319.70000000000005,65.60000000000001,-43.1,-4.1000000000000005,12.3,6.5,-7.1000000000000005,2.9000000000000004,3.3000000000000003,25,10.299999999999999,-0.5
