platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:49.886Z,着席,部屋の中,false,136.1,26.8,-12.5,2.4000000000000004,4.3,9.3,0.7000000000000001,-0.30000000000000004,0.2,2.1,-13.900000000000002,2.3
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:50.087Z,着席,部屋の中,false,111.4,49.1,4.5,-1.6,14,13.200000000000001,-1,6.300000000000001,6.6000000000000005,66.3,-7.500000000000001,-32.2
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:50.288Z,着席,部屋の中,false,107.7,64.8,7.300000000000001,-0.2,-2.8000000000000003,-2.8000000000000003,0.4,-11.5,-6.9,-5.2,-56.50000000000001,48.70000000000001
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:50.488Z,着席,部屋の中,false,112.30000000000001,44.5,-3.4000000000000004,-2,21.200000000000003,22.200000000000003,-2.5,13.9,15,88.50000000000001,-29.600000000000005,-12.4
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:50.689Z,着席,部屋の中,false,102.4,73.10000000000001,8.3,0,-7.800000000000001,-4.800000000000001,0.4,-17.2,-7.6000000000000005,3.9,-24.400000000000002,-8.4
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:50.891Z,着席,部屋の中,false,112.5,47.7,-7,0.2,23.8,21.1,-0.6000000000000001,16.2,14.200000000000001,75.1,13.8,-35.699999999999996
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:51.092Z,着席,部屋の中,false,102.9,70.2,7.2,-0.7000000000000001,-6.9,-4.4,-0.30000000000000004,-16,-7.7,-34.50000000000001,-18.8,5.4
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:51.293Z,着席,部屋の中,false,116.10000000000001,44.900000000000006,-14.5,0.2,25.400000000000002,25.5,-1.6,18.3,18.5,17.7,22.3,-44.7
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:51.494Z,着席,部屋の中,false,104.5,68.4,2.9000000000000004,-0.1,-4.4,-2,0.1,-13.5,-5.6000000000000005,19.9,-2,9.2
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:51.695Z,着席,部屋の中,false,112.2,47.1,-9.200000000000001,-1,23.1,22,-2,15.8,15.200000000000001,-35.4,21,-29.600000000000005
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:51.896Z,着席,部屋の中,false,104.9,66.10000000000001,3.4000000000000004,-0.8,-2.8000000000000003,-1.2000000000000002,-0.5,-11.9,-5.2,40.6,30.799999999999997,-4.300000000000001
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:52.097Z,着席,部屋の中,false,117,48.1,-11.3,4,24.5,19.900000000000002,2.7,17.3,13.5,-131.2,-27.2,-12.600000000000001
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:52.298Z,着席,部屋の中,false,92.7,67.3,19.3,-1.1,-3.5,0.4,0.1,-12.9,-3.3000000000000003,96.80000000000001,24.200000000000003,-36.300000000000004
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:52.509Z,着席,部屋の中,false,117.9,61.300000000000004,-8.9,2.1,18.7,10.3,1.3,10.5,5.5,-167.9,-48.800000000000004,74.89999999999999
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:52.710Z,着席,部屋の中,false,92.30000000000001,72.2,18.8,0.2,-1.3,0.6000000000000001,1.2000000000000002,-11.200000000000001,-2.4000000000000004,135,50.8,-70.3
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:52.911Z,着席,部屋の中,false,111.7,67.7,-4.4,3.8000000000000003,3.9000000000000004,6.6000000000000005,3.1,-6.5,1.2000000000000002,-209.70000000000002,-64.80000000000001,89.70000000000002
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:53.112Z,着席,部屋の中,false,107.10000000000001,58.300000000000004,-4.5,2.4000000000000004,10.200000000000001,9.700000000000001,2,1.1,4.1000000000000005,213.3,17.9,-97.8
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:53.313Z,着席,部屋の中,false,84.10000000000001,77.4,19,0.1,-6.300000000000001,-3.2,0.8,-15.5,-5.2,-71.7,-23.700000000000003,62.900000000000006
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:53.514Z,着席,部屋の中,false,108.5,51.7,-8.6,2.6,25.3,18.400000000000002,1.6,17.2,12,85.1,29.600000000000005,-60.7
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:53.715Z,着席,部屋の中,false,59.900000000000006,80,41.5,-1.7000000000000002,-7.6000000000000005,-4.5,-0.6000000000000001,-17.2,-5.800000000000001,23.3,-16.700000000000003,34.2
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:53.915Z,着席,部屋の中,false,116.5,51.900000000000006,-19.400000000000002,10,33.300000000000004,22.3,8,25.6,16.7,-146.60000000000002,3.3000000000000007,21.300000000000004
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:54.116Z,着席,部屋の中,false,78.7,76,23,-1.4000000000000001,-6.7,-1.8,-0.5,-16.6,-4.1000000000000005,94,35.9,-48.2
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:54.317Z,着席,部屋の中,false,110.4,58.800000000000004,-11.5,4.3,18.7,15.5,3.4000000000000004,10.700000000000001,10.700000000000001,-162.4,-70.6,105.7
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:54.518Z,着席,部屋の中,false,96.9,70.5,2.5,0.5,1,3.1,0.7000000000000001,-8.9,-0.4,160.3,49.1,-83.70000000000002
Chrome Mobile,90.0.4430.91,,,Blink,[object Object],Chrome Mobile 90.0.4430.91 on Android 9,2021-05-06T05:31:54.719Z,着席,部屋の中,false,111.7,69.9,-12.200000000000001,1.8,1.1,3,1.1,-7.6000000000000005,-0.1,-187.50000000000003,-49.1,115.39999999999999
