platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:35.656Z,寝る,部屋の中,false,2.5,20.8,-8,1.3,3.9000000000000004,10.100000000000001,0,0.4,0.7000000000000001,0.2,6.1000000000000005,0.8
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:35.856Z,寝る,部屋の中,false,342.8,37.2,-3,0.8,5.9,8.1,0.4,-0.2,0.30000000000000004,-1.2000000000000002,-8.3,-4.6
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:36.057Z,寝る,部屋の中,false,340.3,37,-3.4000000000000004,0.8,5.9,8.8,0.4,-0.2,0.4,-1.9,-14.100000000000001,-17.400000000000002
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:36.262Z,寝る,部屋の中,false,334.6,38.400000000000006,-5.300000000000001,2.2,6.5,8.3,1.5,0.2,0.30000000000000004,9.8,-36.400000000000006,-40.1
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:36.462Z,寝る,部屋の中,false,317.5,44,-5.7,-1.1,4.9,6.800000000000001,-1.9000000000000001,-2.2,-0.6000000000000001,9.899999999999999,-59.1,-66.60000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:36.663Z,寝る,部屋の中,false,319.20000000000005,48.7,-10.100000000000001,-5.1000000000000005,6.800000000000001,11.5,-6.300000000000001,-0.8,5.2,81.8,102.5,69.4
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:36.864Z,寝る,部屋の中,false,352.70000000000005,56.2,1.2000000000000002,-0.2,2.2,10.9,0,-6.300000000000001,5.300000000000001,21.900000000000002,223.8,140.8
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:37.065Z,寝る,部屋の中,false,36.6,51.300000000000004,-6,15.9,10.4,8.4,15.100000000000001,2.3000000000000003,1.5,13.6,22.2,-3.4
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:37.269Z,寝る,部屋の中,false,9.5,56.300000000000004,-7.1000000000000005,2.4000000000000004,2.7,11.8,1.7000000000000002,-5.800000000000001,6.300000000000001,16.3,-275.40000000000003,-134.4
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:37.473Z,寝る,部屋の中,false,326.90000000000003,52.7,-19.200000000000003,-2.5,6.800000000000001,7.9,-4.6000000000000005,-1.2000000000000002,2.1,-32,-203.10000000000002,-76.80000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:37.673Z,寝る,部屋の中,false,310.40000000000003,54.2,-12.200000000000001,-7.2,5.7,10.5,-8.4,-2.6,4.4,90.70000000000002,110.4,52.80000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:37.873Z,寝る,部屋の中,false,349.3,59.2,0.8,3.1,2.4000000000000004,11.3,3.3000000000000003,-6.4,5.800000000000001,29.1,280.90000000000003,150.70000000000002
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:38.074Z,寝る,部屋の中,false,34.6,48.1,0.7000000000000001,18,10.8,9.9,17.8,3,3.2,-28,68.3,-31.7
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:38.277Z,寝る,部屋の中,false,0.4,53.7,-2.1,2.5,0.7000000000000001,13.4,1.9000000000000001,-7.7,7.800000000000001,29,-207.7,-155.60000000000002
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:38.478Z,寝る,部屋の中,false,327.1,54.7,-28.6,-4.6000000000000005,7.6000000000000005,11.5,-7.4,-0.30000000000000004,6.300000000000001,-39.1,-267.8,-16.200000000000003
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:38.684Z,寝る,部屋の中,false,314.6,55.2,-13.4,-3.7,7.800000000000001,9.5,-5.4,-1.2000000000000002,3.2,57.9,235,31.9
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:38.885Z,寝る,部屋の中,false,4.2,57.6,-1,3.5,1.1,12.4,3.4000000000000004,-7.4,6.9,-15.2,293.7,167.20000000000002
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:39.086Z,寝る,部屋の中,false,44.1,50.2,-4.3,17,10.200000000000001,8.1,16.400000000000002,2.2,1.5,-2.8,3.8,-88.10000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:39.288Z,寝る,部屋の中,false,0.5,58.300000000000004,-6.7,-1,-0.2,12.100000000000001,-1.4000000000000001,-8.700000000000001,6.6000000000000005,72.80000000000001,-316.7,-128.60000000000002
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:39.489Z,寝る,部屋の中,false,323.90000000000003,53.800000000000004,-24.1,-12.200000000000001,11.8,12.600000000000001,-15.8,3.7,7,-123.7,-69.9,-72.4
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:39.697Z,寝る,部屋の中,false,331.20000000000005,58.800000000000004,-11.5,-2,5.2,11.9,-2.7,-3.7,6.6000000000000005,83.10000000000001,184.4,81.50000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T02:39:39.898Z,寝る,部屋の中,false,21.700000000000003,52.800000000000004,3.8000000000000003,7.300000000000001,2.8000000000000003,9.3,7.6000000000000005,-5.4,3.2,-59.5,204.1,130.3
