platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:55.204Z,直立,部屋の中,false,249.10000000000002,23.1,-18.3,3.4000000000000004,4.1000000000000005,9.3,0.4,0.1,0.4,-0.8,12.100000000000001,-1.8000000000000003
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:55.410Z,直立,部屋の中,false,240.8,58.900000000000006,-4.7,-1.5,8.3,5.7,-1.9000000000000001,-0.4,0.6000000000000001,8.899999999999999,48.70000000000001,36.1
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:55.611Z,直立,部屋の中,false,250.60000000000002,59,-0.30000000000000004,2.7,8.6,4.6000000000000005,2.3000000000000003,-0.30000000000000004,-0.8,-5.6,75.1,9.899999999999999
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:55.812Z,直立,部屋の中,false,249.4,59.800000000000004,-1.8,4.9,5.800000000000001,5.300000000000001,4.9,-3,0.1,22.5,-142,-41.800000000000004
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:56.016Z,直立,部屋の中,false,229.5,57.800000000000004,-14.3,-8.3,10.200000000000001,8.3,-9.9,1.7000000000000002,3.2,5.9,-125.10000000000001,-9.3
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:56.216Z,直立,部屋の中,false,236.4,62.5,-11.700000000000001,-1.4000000000000001,7.2,9.700000000000001,-1.9000000000000001,-2.1,4.7,53.400000000000006,186.99999999999997,47.2
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:56.417Z,直立,部屋の中,false,259.7,62.300000000000004,0.1,13.700000000000001,10,5,13.600000000000001,0.9,0.2,11.900000000000002,25.300000000000004,4.7
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:56.618Z,直立,部屋の中,false,248.10000000000002,63.800000000000004,-10.700000000000001,0.8,8.1,8.200000000000001,0.9,-1.3,3.6,-33.800000000000004,-167.60000000000002,-75.00000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:56.819Z,直立,部屋の中,false,229.60000000000002,63.2,-18.5,-8.3,10.3,8,-10.700000000000001,1,3.9000000000000004,18.1,59.60000000000001,31.6
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:57.020Z,直立,部屋の中,false,242,63.6,0,4.9,6.1000000000000005,8.200000000000001,4.4,-3.1,3.5,-16.1,149.4,43.4
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:57.221Z,直立,部屋の中,false,255.9,66.10000000000001,-10.100000000000001,5.1000000000000005,6.6000000000000005,5.4,5.1000000000000005,-2.5,1.2000000000000002,-8.600000000000001,-130.4,-64.80000000000001
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:57.422Z,直立,部屋の中,false,234.20000000000002,62.800000000000004,-21.900000000000002,-9,10.5,9.700000000000001,-10.200000000000001,1.4000000000000001,5.300000000000001,-24.3,-86.2,-12
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:57.622Z,直立,部屋の中,false,238,64.3,-10.5,-1.5,7.5,8.9,-2.3000000000000003,-1.9000000000000001,4.5,26.200000000000003,180.2,42.2
Chrome Mobile,86.0.4240.198,,,Blink,[object Object],Chrome Mobile 86.0.4240.198 on Android 10,2021-05-09T03:00:57.823Z,直立,部屋の中,false,267.6,66.3,-12.8,13.200000000000001,9.4,2.5,12,-0.2,-1.3,7.9,-3,-30.200000000000003
