platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:23.989Z,寝る,あ,false,146,37.7,24.900000000000002,-3.4000000000000004,6.2,6.9,-0.1,0.2,-0.2,7.9,0.30000000000000004,4.6
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:24.190Z,寝る,あ,false,67.2,62.300000000000004,-19.5,-6.9,12.600000000000001,14.4,-8.4,3.9000000000000004,10,1.8000000000000003,242.3,40.800000000000004
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:24.391Z,寝る,あ,false,86,70.60000000000001,-2.7,18,8,5.7,17.900000000000002,-1.3,2.4000000000000004,19.1,-12.4,-16.5
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:24.592Z,寝る,あ,false,103.80000000000001,68.7,-49.5,-6,9.8,9.1,-8.8,0.5,6.7,-48.2,-194.10000000000002,41.300000000000004
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:24.793Z,寝る,あ,false,98.9,68.4,-47.1,-3.9000000000000004,9.1,3.4000000000000004,-6.5,0,1,55.2,225.4,-86.1
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:24.994Z,寝る,あ,false,73.3,70.3,25.400000000000002,14.3,8.6,5.2,15.700000000000001,-0.7000000000000001,2.2,-19.1,134.10000000000002,-17.300000000000004
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:25.194Z,寝る,あ,false,107.9,72.2,-24.200000000000003,6,8.6,9.1,4.800000000000001,-0.7000000000000001,6.4,-50.5,-235.20000000000002,-9.100000000000001
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:25.395Z,寝る,あ,false,93.30000000000001,60.2,-54.1,-10.700000000000001,14.100000000000001,5.9,-14.600000000000001,5.5,3,-57.00000000000001,-133.20000000000002,29.300000000000004
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:25.596Z,寝る,あ,false,76.3,70.8,-10.600000000000001,-3.9000000000000004,9.600000000000001,6.4,-4.5,0.4,3.3000000000000003,24.7,249.6,-63.8
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:25.796Z,寝る,あ,false,85.60000000000001,69.7,13.5,17.2,5,7.7,18,-4.2,4.4,31.099999999999998,-4.5,13.5
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:25.997Z,寝る,あ,false,103.5,66.4,-39.1,-2,8.1,11.5,-4.4,-0.9,8.5,-72.80000000000001,-250.3,31.2
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:26.198Z,寝る,あ,false,87.4,58,-47.900000000000006,-12.700000000000001,12.4,5.7,-16.6,4,2.2,70.10000000000001,111.4,-24.900000000000002
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:26.399Z,寝る,あ,false,71.60000000000001,70.3,12.4,6.5,9,12,7.2,-0.2,8.700000000000001,-78.80000000000001,247,-61.39999999999999
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:26.600Z,寝る,あ,false,101.7,72.7,-20.5,9.700000000000001,7.7,4.2,8.700000000000001,-1.7000000000000002,1.5,9.899999999999999,-198.20000000000002,28.1
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:26.801Z,寝る,あ,false,97.4,54.400000000000006,-60.800000000000004,-13,18.1,9.200000000000001,-18,10.100000000000001,6.4,-65.7,-133.70000000000002,102.89999999999999
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:27.003Z,寝る,あ,false,89.7,73,-18.3,1.7000000000000002,9.600000000000001,9.3,0.8,0.2,6.6000000000000005,37.300000000000004,249.6,-91.8
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:27.204Z,寝る,あ,false,95.30000000000001,71.60000000000001,-0.9,16,6.1000000000000005,2.9000000000000004,17,-3.5,1,78.60000000000001,-23.900000000000006,55.60000000000001
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:27.412Z,寝る,あ,false,103.10000000000001,62.900000000000006,-50.900000000000006,-4.7,9.4,14.3,-8.200000000000001,0.6000000000000001,11.5,-96.60000000000001,-247.9,37.800000000000004
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:27.612Z,寝る,あ,false,95.80000000000001,67.4,-50.6,-6.6000000000000005,9.200000000000001,4.4,-8.1,0.4,1,122.79999999999998,179.70000000000002,-38.50000000000001
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:27.813Z,寝る,あ,false,79.80000000000001,72.5,5.7,15,9.3,10.600000000000001,15.3,-0.1,7.6000000000000005,-4.9,163.4,32.9
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:45:28.013Z,寝る,あ,false,121.4,71.5,-44.900000000000006,7.6000000000000005,7.1000000000000005,5,5.4,-2.3000000000000003,2.8000000000000003,-26.799999999999997,-170.70000000000002,27.6
