platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:23.249Z,着席,あ,false,72.60000000000001,57.400000000000006,-7.9,1,8.200000000000001,5.300000000000001,0.30000000000000004,-0.1,0,-19.1,-3.5,4.7
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:23.449Z,着席,あ,false,72,59.400000000000006,-11.9,1.4000000000000001,9.3,4.9,0.4,0.8,0,2.4000000000000004,-5.7,-4.4
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:23.650Z,着席,あ,false,72.10000000000001,65.60000000000001,-10.8,0.8,10.600000000000001,4.9,0,1.3,0.7000000000000001,75.60000000000001,-2.6,5.500000000000001
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:23.851Z,着席,あ,false,84.60000000000001,73.8,-24.700000000000003,0.8,-0.30000000000000004,0.5,-0.30000000000000004,-9.600000000000001,-2,-32.9,-21.6,31.3
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:24.052Z,着席,あ,false,77.9,58.6,-25.5,9.200000000000001,24,13.100000000000001,6.800000000000001,15.100000000000001,8.200000000000001,147.9,-9.100000000000001,-100.80000000000001
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:24.253Z,着席,あ,false,137.4,102.30000000000001,-83.7,-4.3,-9.4,-3.1,-2.2,-18.900000000000002,-2.8000000000000003,81.8,28.3,-28
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:24.453Z,着席,あ,false,85.7,67.10000000000001,-24.200000000000003,13.5,38.800000000000004,13.5,11.9,29.700000000000003,10,21,-8,63.30000000000001
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:24.654Z,着席,あ,false,334.8,81.7,88.5,-5,-10.3,-0.30000000000000004,-3.6,-19.900000000000002,-0.30000000000000004,9,33.2,-7.400000000000001
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:24.854Z,着席,あ,false,87.7,70.7,-18.6,7.6000000000000005,29.1,8.200000000000001,6.5,19.5,5,169.50000000000003,13.900000000000002,-53.10000000000001
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:25.054Z,着席,あ,false,9.9,83.10000000000001,58.5,-3.4000000000000004,-6.7,0.30000000000000004,-1,-13.8,-0.7000000000000001,-68.2,17.300000000000004,92.7
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:25.255Z,着席,あ,false,87.60000000000001,81.4,-15,2.6,8.5,3.2,2.2,-1.6,1.7000000000000002,130.3,14.900000000000002,-112.5
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:25.455Z,着席,あ,false,80.5,77.2,-3.7,2.8000000000000003,19.1,0.8,2.7,10,-1.3,-184.7,27.5,132.9
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:25.656Z,着席,あ,false,25.1,81.60000000000001,51.300000000000004,-2.1,-6.6000000000000005,-0.1,-1,-16.400000000000002,-1,64.50000000000001,11.4,-88.8
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:25.857Z,着席,あ,false,95.7,69,-20,10.700000000000001,34.300000000000004,13,9.5,25.200000000000003,9.700000000000001,-70.6,-60.00000000000001,28.3
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:26.058Z,着席,あ,false,5.300000000000001,76.80000000000001,72.2,-6.5,-9.1,-1.4000000000000001,-4.4,-18.5,-2.1,4.7,42.800000000000004,6.699999999999999
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:26.258Z,着席,あ,false,80.80000000000001,73.3,0.8,4.1000000000000005,17.900000000000002,7.7,4.2,8.1,4.800000000000001,113.8,52.2,-77.5
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:26.459Z,着席,あ,false,51.300000000000004,80.7,34.800000000000004,0.4,1.3,-1.5,1.2000000000000002,-7.800000000000001,-2.8000000000000003,-114.40000000000002,-39.1,157.60000000000002
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:26.660Z,着席,あ,false,82.10000000000001,82.7,5,-0.5,1.6,1.4000000000000001,-0.30000000000000004,-8.5,0.2,109.10000000000001,29,-123.4
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:26.861Z,着席,あ,false,97.4,68.10000000000001,-4.9,5.800000000000001,31.6,18.7,5.5,22.700000000000003,15.100000000000001,-215.7,16.4,12.5
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:27.062Z,着席,あ,false,20.900000000000002,77.60000000000001,68.2,-5.7,-8.9,-1.1,-3.8000000000000003,-18.3,-1.8,-13.200000000000003,2.6,39.300000000000004
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:27.262Z,着席,あ,false,94.80000000000001,76.60000000000001,-8,4.9,16.400000000000002,3.8000000000000003,4.5,6.5,1.5,129.60000000000002,-0.2,-95.30000000000001
Chrome Mobile,90.0.4430.82,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 90.0.4430.82 on Asus X01AD (Android 9),2021-05-06T05:11:27.463Z,着席,あ,false,58.900000000000006,77.5,28.6,-1.8,3.3000000000000003,0.1,-0.9,-5.7,-1.7000000000000002,-132.4,-3.6000000000000005,148.4
