,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:56.239Z,camera,jxkx,False,34.1,25.8,2.5,0.6000000000000001,4.6000000000000005,9.1,0.6000000000000001,0.2,-0.1,0.4,-14.0,0.1
1,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:56.441Z,camera,jxkx,False,30.0,34.5,4.2,-1.0,5.0,8.1,-0.30000000000000004,-0.5,0.1,2.0,-5.4,-3.6000000000000005
2,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:56.641Z,camera,jxkx,False,30.3,34.300000000000004,4.5,-0.5,5.2,7.800000000000002,-0.1,-0.4,-0.30000000000000004,-2.4000000000000004,4.5,12.2
3,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:56.842Z,camera,jxkx,False,30.5,33.300000000000004,3.5,-0.5,5.300000000000002,8.700000000000001,0.1,-0.2,0.5,8.2,8.700000000000001,-11.2
4,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:57.042Z,camera,jxkx,False,29.9,33.5,3.3000000000000003,-0.1,5.2,8.9,0.2,-0.30000000000000004,0.7000000000000001,7.9,-11.000000000000002,4.1
5,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:57.243Z,camera,jxkx,False,30.4,36.0,2.1,0.0,6.5,9.6,0.5,0.9,1.6,22.3,-25.4,1.8000000000000005
6,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:57.443Z,camera,jxkx,False,31.700000000000006,45.40000000000001,0.0,0.7000000000000001,8.6,7.7,0.6000000000000001,1.4,0.7000000000000001,49.1,3.4,-5.6
7,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:57.644Z,camera,jxkx,False,27.3,59.3,-0.7000000000000001,0.9,7.800000000000002,4.7,1.1,-0.8,-0.30000000000000004,56.0,-22.700000000000006,-9.4
8,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:57.845Z,camera,jxkx,False,19.700000000000006,67.60000000000001,7.5,0.2,7.6,3.8,0.30000000000000004,-1.6,-0.30000000000000004,43.70000000000001,-31.8,5.6
9,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:58.046Z,camera,jxkx,False,24.200000000000006,68.60000000000001,1.8,0.0,9.0,4.5,-0.30000000000000004,-0.1,0.5,-20.2,-0.1,23.3
10,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:58.247Z,camera,jxkx,False,24.8,68.2,0.30000000000000004,-0.2,8.6,4.9,-0.30000000000000004,-0.5,1.2000000000000002,6.1000000000000005,6.4,-11.4
11,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:58.448Z,camera,jxkx,False,29.1,69.3,-4.0,0.4,9.2,3.8,0.1,0.1,0.1,-7.9,-4.300000000000002,3.0
12,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:58.649Z,camera,jxkx,False,28.8,69.8,-3.7,0.30000000000000004,9.1,3.5,-0.1,-0.1,0.0,2.5,-11.000000000000002,-0.6000000000000001
13,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:58.850Z,camera,jxkx,False,28.8,68.8,-3.7,0.6000000000000001,8.9,4.0,0.4,-0.30000000000000004,0.6000000000000001,-9.5,4.2,-6.1000000000000005
14,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:59.050Z,camera,jxkx,False,28.0,68.9,-2.9000000000000004,0.4,9.1,4.3,0.30000000000000004,0.0,0.7000000000000001,-15.8,3.9,-1.8000000000000005
15,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:59.251Z,camera,jxkx,False,25.9,69.10000000000001,-0.6000000000000001,-0.4,8.9,2.9000000000000004,-0.5,-0.2,-0.7000000000000001,6.9,-3.8,-2.1
16,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:59.452Z,camera,jxkx,False,28.200000000000006,68.5,-2.9000000000000004,0.30000000000000004,9.3,3.8,0.2,0.2,0.2,-7.300000000000002,2.6,0.1
17,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:59.658Z,camera,jxkx,False,28.1,69.10000000000001,-2.9000000000000004,0.0,9.0,3.2,-0.1,-0.1,-0.30000000000000004,-1.3,5.4,-5.2
18,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:36:59.859Z,camera,jxkx,False,27.5,68.0,-2.5,0.1,9.0,3.9,0.0,-0.1,0.0,7.0,-1.8000000000000005,0.30000000000000004
19,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:37:00.060Z,camera,jxkx,False,27.5,68.3,-2.2,0.2,9.0,3.2,0.0,0.0,-0.4,2.1,-7.9,3.3000000000000007
20,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:37:00.261Z,camera,jxkx,False,27.1,67.60000000000001,-0.7000000000000001,0.0,9.3,3.8,-0.2,0.30000000000000004,0.0,0.4,5.4,2.5
21,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:37:00.462Z,camera,jxkx,False,28.3,68.5,-1.3,-0.2,9.1,3.5,-0.2,-0.1,-0.1,9.8,12.3,-5.8
22,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:37:00.663Z,camera,jxkx,False,27.6,70.10000000000001,0.2,0.2,9.1,3.5,0.2,-0.1,0.2,11.6,5.8,2.8
