,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:38.813Z,kanban,っghっっj,False,228.6,28.0,2.7,-0.30000000000000004,5.0,8.8,0.5,0.30000000000000004,0.4,12.0,-1.5,-1.4
1,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:39.015Z,kanban,っghっっj,False,230.6,29.4,2.7,-0.4,4.9,8.6,0.0,0.0,0.0,-1.7,-3.9,-0.4
2,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:39.216Z,kanban,っghっっj,False,230.0,29.3,2.4000000000000004,-0.30000000000000004,4.800000000000002,8.9,0.1,0.0,0.30000000000000004,-4.4,-1.5,-2.1
3,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:39.417Z,kanban,っghっっj,False,229.9,29.200000000000006,2.2,-0.30000000000000004,4.9,8.5,0.0,0.1,-0.1,-3.0,3.5,-2.0
4,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:39.617Z,kanban,っghっっj,False,229.2,29.8,2.6,-0.30000000000000004,5.2,8.0,0.1,0.1,-0.4,11.3,3.5,1.9
5,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:39.818Z,kanban,っghっっj,False,229.9,33.6,2.4000000000000004,-1.2000000000000002,8.6,12.5,-0.9,3.0,4.1000000000000005,33.300000000000004,-6.1000000000000005,7.6
6,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:40.024Z,kanban,っghっっj,False,235.7,57.5,-3.8,1.2000000000000002,9.0,8.200000000000001,0.9,0.30000000000000004,2.8000000000000003,171.39999999999995,-40.9,6.500000000000001
7,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:40.228Z,kanban,っghっっj,False,271.8,85.2,-40.2,1.2000000000000002,6.6000000000000005,1.2000000000000002,0.5,-3.6,0.5,134.10000000000002,-16.200000000000006,6.0
8,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:40.432Z,kanban,っghっっj,False,229.0,106.0,4.1000000000000005,-1.2000000000000002,5.9,-3.3000000000000003,-1.1,-3.4000000000000004,-0.8,92.1,-29.200000000000006,5.500000000000001
9,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:40.632Z,kanban,っghっっj,False,227.4,114.3,3.2,-0.2,7.6,-4.1000000000000005,-0.6000000000000001,-1.4,-0.30000000000000004,6.500000000000001,22.8,3.0
10,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:40.833Z,kanban,っghっっj,False,225.9,115.4,4.3,0.30000000000000004,8.700000000000001,-4.5,0.1,-0.2,-0.2,2.5,14.0,-5.0
11,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:41.034Z,kanban,っghっっj,False,232.5,116.1,-2.8000000000000003,-0.6000000000000001,8.6,-4.2,-0.4,-0.2,0.1,-11.2,7.9,-12.6
12,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:41.235Z,kanban,っghっっj,False,232.8,116.4,-3.0,-0.7000000000000001,8.6,-4.6000000000000005,-0.6000000000000001,-0.1,-0.30000000000000004,14.900000000000002,-9.0,3.4
13,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:41.436Z,kanban,っghっっj,False,231.5,116.9,-1.6,-0.30000000000000004,8.4,-4.4,0.1,-0.1,-0.2,-6.9,6.2,-10.1
14,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:41.637Z,kanban,っghっっj,False,231.9,117.2,-1.8,0.1,9.0,-4.800000000000002,0.30000000000000004,0.30000000000000004,-0.30000000000000004,1.6,6.8,-6.4
15,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:41.839Z,kanban,っghっっj,False,234.5,117.3,-4.0,-0.4,8.8,-4.7,0.0,0.1,-0.30000000000000004,-7.200000000000001,2.9,-5.300000000000002
16,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:42.040Z,kanban,っghっっj,False,232.6,117.7,-2.4000000000000004,0.1,8.700000000000001,-4.9,0.30000000000000004,0.1,-0.4,-2.7,6.1000000000000005,0.1
17,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:51:42.241Z,kanban,っghっっj,False,233.3,117.1,-3.6,-0.30000000000000004,8.700000000000001,-4.2,-0.1,-0.1,0.30000000000000004,1.0,-1.8000000000000005,-0.7
