,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:10.837Z,camera,ttttt,False,152.4,40.8,10.2,-0.7000000000000001,6.800000000000002,8.8,-0.6000000000000001,-0.4,-1.5,-14.300000000000002,18.1,3.7000000000000006
1,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:11.038Z,camera,ttttt,False,151.3,39.3,3.2,0.5,7.1000000000000005,6.9,-1.0,-1.0,-0.30000000000000004,-16.900000000000002,14.5,-8.4
2,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:11.238Z,camera,ttttt,False,151.6,39.8,0.2,0.2,6.5,7.2,-0.30000000000000004,-0.2,0.4,17.300000000000004,-16.4,16.900000000000002
3,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:11.439Z,camera,ttttt,False,152.3,38.90000000000001,1.5,-0.30000000000000004,6.1000000000000005,8.200000000000001,0.1,0.0,-0.6000000000000001,-2.6,2.1,3.0
4,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:11.642Z,camera,ttttt,False,152.8,39.2,1.2000000000000002,-0.30000000000000004,6.4,8.1,0.1,-0.2,-0.5,3.7000000000000006,3.2,1.1
5,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:11.842Z,camera,ttttt,False,154.70000000000005,44.0,0.0,0.6000000000000001,8.0,7.9,-0.6000000000000001,-1.2000000000000002,-0.8,45.9,-6.300000000000002,9.1
6,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:12.043Z,camera,ttttt,False,154.70000000000005,54.0,-0.5,0.1,7.6,6.2,0.0,0.5,-0.6000000000000001,58.90000000000001,-5.500000000000001,3.2
7,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:12.244Z,camera,ttttt,False,156.60000000000005,62.6,-3.4000000000000004,0.0,8.0,4.2,0.30000000000000004,0.7000000000000001,0.30000000000000004,20.7,-7.699999999999998,1.3
8,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:12.444Z,camera,ttttt,False,155.3,64.2,-2.9000000000000004,-0.2,8.200000000000001,4.0,-0.1,0.5,-0.7000000000000001,4.1,9.7,-9.3
9,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:12.645Z,camera,ttttt,False,154.5,65.4,-2.4000000000000004,0.5,9.0,4.6000000000000005,-0.30000000000000004,-0.1,-0.6000000000000001,6.500000000000001,-2.7,-1.6
10,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:12.845Z,camera,ttttt,False,154.10000000000005,65.5,-1.9,0.2,8.9,4.1000000000000005,-0.1,0.0,0.0,1.6,1.6,3.7000000000000006
11,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:13.049Z,camera,ttttt,False,153.8,65.5,-1.4,-0.1,8.8,4.3,0.2,0.1,-0.2,-1.8000000000000005,4.2,-3.6000000000000005
12,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:13.250Z,camera,ttttt,False,154.70000000000005,66.0,-2.0,0.1,8.8,4.3,0.0,0.1,-0.30000000000000004,1.5,4.6,-0.8
13,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:13.450Z,camera,ttttt,False,156.0,66.0,-2.9000000000000004,0.5,9.2,4.1000000000000005,-0.30000000000000004,-0.2,-0.2,1.2000000000000002,-1.7,3.5
14,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:13.651Z,camera,ttttt,False,156.4,65.8,-2.7,0.4,8.9,4.2,-0.2,0.1,-0.2,-5.6,2.5,0.1
15,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:13.851Z,camera,ttttt,False,155.9,65.7,-2.0,0.1,8.9,4.5,0.1,0.0,-0.5,-2.5,2.8,1.5
16,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:14.052Z,camera,ttttt,False,155.5,65.5,-1.0,-0.1,8.9,4.0,0.1,0.1,0.0,-3.4,8.3,-0.30000000000000004
17,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:14.253Z,camera,ttttt,False,155.3,65.5,-0.30000000000000004,0.0,8.8,3.8,0.0,0.1,0.30000000000000004,-3.1,2.8,-2.5
18,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:14.456Z,camera,ttttt,False,155.4,65.2,-0.2,0.4,9.0,4.1000000000000005,-0.30000000000000004,-0.1,0.0,-1.3,4.300000000000002,-1.9
19,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:14.656Z,camera,ttttt,False,154.9,65.3,0.30000000000000004,0.2,9.0,4.0,-0.2,-0.1,0.1,-0.7,2.1,2.6
20,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:14.857Z,camera,ttttt,False,154.3,65.2,1.1,0.0,8.9,4.2,-0.1,0.1,-0.1,0.4,2.7,-1.0
21,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:15.059Z,camera,ttttt,False,154.20000000000005,65.3,0.9,0.0,8.9,4.3,0.0,0.0,-0.30000000000000004,-3.6000000000000005,3.6000000000000005,-0.2
22,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:15.264Z,camera,ttttt,False,154.5,65.2,0.4,0.0,8.9,3.9,0.0,0.0,0.2,-0.6000000000000001,1.8000000000000005,-0.6000000000000001
23,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:15.464Z,camera,ttttt,False,154.4,65.60000000000001,0.5,-0.1,9.0,4.0,0.0,0.0,0.1,3.3000000000000007,-4.1,2.9
24,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:41:15.665Z,camera,ttttt,False,154.5,65.4,0.8,0.0,8.9,4.2,0.0,0.0,-0.1,0.9000000000000001,1.8000000000000005,1.2000000000000002
