,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:23.175Z,kanban,tttt,False,75.5,33.800000000000004,-5.0,0.8,5.300000000000002,8.9,-0.1,0.2,-0.8,7.8,9.7,-6.8
1,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:23.375Z,kanban,tttt,False,68.10000000000001,36.2,-3.5,0.8,4.9,9.3,-0.4,0.9,-1.4,-11.3,36.7,3.4
2,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:23.581Z,kanban,tttt,False,70.2,36.5,0.1,0.0,5.7,8.4,0.0,0.2,-0.6000000000000001,-0.2,17.400000000000002,1.0
3,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:23.781Z,kanban,tttt,False,69.7,37.4,-0.7000000000000001,0.30000000000000004,6.0,7.7,-0.2,0.0,0.1,16.8,-30.1,-12.1
4,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:23.984Z,kanban,tttt,False,67.4,39.0,-3.0,0.1,6.0,8.1,0.30000000000000004,0.2,-0.5,-0.30000000000000004,3.7000000000000006,-4.4
5,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:24.186Z,kanban,tttt,False,66.9,39.40000000000001,-2.6,0.1,6.2,7.1000000000000005,0.30000000000000004,0.1,0.5,-0.8,-5.2,-0.6000000000000001
6,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:24.392Z,kanban,tttt,False,66.8,39.40000000000001,-3.4000000000000004,0.5,6.4,7.1000000000000005,-0.1,-0.2,0.4,-1.5,1.7,-0.4
7,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:24.593Z,kanban,tttt,False,66.7,39.7,-3.8,0.5,6.300000000000002,7.1000000000000005,0.0,-0.1,0.4,-6.2,4.2,-2.3
8,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:24.793Z,kanban,tttt,False,66.60000000000001,39.0,-2.4000000000000004,0.5,6.4,7.4,-0.2,-0.2,0.2,-0.1,8.100000000000001,-0.5
9,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:24.994Z,kanban,tttt,False,66.4,39.1,-2.6,0.1,6.2,7.6,0.30000000000000004,0.0,0.0,3.0,-4.1,-4.2
10,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:25.194Z,kanban,tttt,False,66.5,39.6,-2.9000000000000004,0.5,6.1000000000000005,7.7,-0.2,0.1,-0.2,1.5,-1.7,1.0
11,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:50:25.395Z,kanban,tttt,False,66.7,39.90000000000001,-3.8,0.4,6.1000000000000005,7.7,0.1,0.2,-0.2,1.1,-5.8,-1.2000000000000002
