,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:34:22.900Z,camera,B7,False,87.4,21.4,-2.0,0.30000000000000004,3.7,8.8,0.0,0.1,-0.4,0.6000000000000001,2.3,-2.5
1,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:34:23.100Z,camera,B7,False,83.0,63.2,6.300000000000002,-0.6000000000000001,8.700000000000001,4.5,-0.1,0.0,0.1,4.300000000000002,2.7,0.0
2,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:34:23.301Z,camera,B7,False,82.80000000000003,63.3,6.4,-0.4,8.700000000000001,4.1000000000000005,0.1,0.0,-0.30000000000000004,1.0,0.7,-0.9000000000000001
3,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:34:23.503Z,camera,B7,False,83.10000000000002,63.3,6.0,-0.4,8.700000000000001,4.5,0.1,-0.1,0.1,1.7,0.0,1.4
4,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:34:23.705Z,camera,B7,False,83.30000000000003,63.7,5.800000000000002,-0.4,8.8,4.0,0.0,0.0,-0.4,1.2000000000000002,-2.7,0.4
5,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:34:23.906Z,camera,B7,False,83.2,63.7,5.800000000000002,-0.30000000000000004,8.8,4.4,0.1,0.1,0.1,0.0,7.1000000000000005,-3.4
6,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:34:24.118Z,camera,B7,False,82.5,63.40000000000001,6.6000000000000005,-0.30000000000000004,9.0,4.0,0.2,0.2,-0.4,-17.0,-11.6,5.4
7,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:34:24.319Z,camera,B7,False,82.5,63.0,5.4,-0.5,8.700000000000001,4.3,-0.1,0.0,-0.1,-5.7,0.30000000000000004,-0.7
8,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:34:24.520Z,camera,B7,False,82.9,63.90000000000001,5.2,-0.4,8.700000000000001,4.1000000000000005,0.0,-0.1,-0.2,-2.7,0.1,-0.2
9,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:34:24.723Z,camera,B7,False,83.2,63.90000000000001,4.9,-0.30000000000000004,8.9,4.4,0.1,0.1,0.1,-2.6,-4.800000000000002,3.9
10,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:34:24.923Z,camera,B7,False,84.0,63.90000000000001,3.8,-0.2,8.9,4.5,0.1,0.1,0.2,0.2,0.6000000000000001,3.3000000000000007
