platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:39.261Z,歩行,大学,false,214.9,36.9,18.6,-3,5.2,5.9,-0.6000000000000001,-0.6000000000000001,-1.4000000000000001,-2.7,0.7,18.900000000000002
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:39.489Z,歩行,大学,false,226.4,48.900000000000006,13.700000000000001,-1.1,4.800000000000001,4.7,0.5,-2.6,-1.4000000000000001,14.300000000000002,7.1000000000000005,17.9
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:39.699Z,歩行,大学,false,229.9,49,8.9,-1.2000000000000002,8.700000000000001,6.800000000000001,0.2,1.1,1,-22.3,-15.5,-8.600000000000001
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:39.903Z,歩行,大学,false,223.70000000000002,38.2,9.200000000000001,0.9,4.800000000000001,12.3,1.9000000000000001,-1.1,5.1000000000000005,-10.9,-25.300000000000004,-52.1
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:40.120Z,歩行,大学,false,210.4,38.5,12.3,-1.4000000000000001,4.2,3.3000000000000003,0.2,-1.9000000000000001,-4.2,-14,-17.9,-36.400000000000006
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:40.330Z,歩行,大学,false,203.3,31.400000000000002,12,-2.1,6.6000000000000005,9.8,-0.30000000000000004,1.7000000000000002,2,-56.400000000000006,-50.900000000000006,2.6
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:40.540Z,歩行,大学,false,206.70000000000002,28.700000000000003,8.4,-1.5,4,9.200000000000001,-0.2,-0.8,0.5,20.1,-14.800000000000002,15.399999999999999
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:40.753Z,歩行,大学,false,209,35.300000000000004,7.7,-1.1,4.800000000000001,3.5,0.1,-0.9,-4.4,20.8,2.5,-4.1
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:40.962Z,歩行,大学,false,205.4,32,6.9,-0.9,6.2,9.9,0.1,1.1,1.8,-16.8,-5,-30.799999999999997
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:41.166Z,歩行,大学,false,190.8,23.6,7.4,0.30000000000000004,2.6,9.8,1.2000000000000002,-1.4000000000000001,0.4,29.700000000000006,-20.3,-63.30000000000001
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:41.387Z,歩行,大学,false,180.8,31.700000000000003,7.2,-1.3,4.4,4.800000000000001,-0.2,-0.8,-3.6,-1.3,-13.000000000000002,-43.800000000000004
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T06:15:41.589Z,歩行,大学,false,172.60000000000002,25.400000000000002,10.700000000000001,-3.3000000000000003,5.9,12.9,-1.9000000000000001,1.7000000000000002,4,10.200000000000001,-11.3,8.3
