,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:29.024Z,camera,a,False,248.4,50.0,8.1,-0.8,7.6,6.300000000000002,-0.1,-0.1,0.0,1.7,-3.3000000000000007,-0.30000000000000004
1,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:29.225Z,camera,a,False,240.6,55.8,11.7,-1.2000000000000002,7.800000000000002,5.5,0.1,0.30000000000000004,-0.1,-36.2,-4.300000000000002,-1.0
2,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:29.425Z,camera,a,False,243.1,49.1,9.1,-1.0,7.4,6.6000000000000005,0.0,0.0,-0.30000000000000004,-9.9,-0.1,-4.2
3,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:29.627Z,camera,a,False,243.6,51.40000000000001,7.7,-0.4,8.6,6.5,-0.4,-0.9,-0.5,26.300000000000004,-16.1,4.6
4,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:29.830Z,camera,a,False,244.6,58.2,5.0,0.0,9.0,2.9000000000000004,-0.5,-0.6000000000000001,2.2,27.4,17.7,-1.1
5,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:30.030Z,camera,a,False,246.3,65.4,-1.0,0.1,9.2,4.0,0.0,-0.2,-0.1,63.6,-35.5,11.000000000000002
6,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:30.235Z,camera,a,False,248.7,69.4,-6.5,0.7000000000000001,7.9,3.9,-0.30000000000000004,1.3,-0.4,-4.300000000000002,-3.0,-13.7
7,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:30.437Z,camera,a,False,243.5,69.7,-3.9,0.5,9.1,2.9000000000000004,-0.2,0.1,0.6000000000000001,-7.200000000000001,-2.0,20.6
8,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:30.638Z,camera,a,False,244.8,69.3,-8.8,-1.1,8.5,4.5,1.6,0.6000000000000001,-1.1,15.8,12.5,-2.9
9,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:30.838Z,camera,a,False,250.5,70.4,-10.6,1.8,9.6,3.4000000000000004,-1.1,-0.4,-0.1,-8.899999999999997,0.7,16.5
10,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:31.040Z,camera,a,False,247.9,68.8,-6.800000000000002,0.8,8.9,2.9000000000000004,-0.4,0.2,0.6000000000000001,-4.800000000000002,2.4000000000000004,8.3
11,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:31.241Z,camera,a,False,247.7,67.7,-6.7,0.30000000000000004,9.2,3.7,0.2,-0.1,0.0,-2.2,-3.4,4.6
12,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:31.441Z,camera,a,False,247.7,67.7,-6.4,0.4,9.0,4.0,0.0,0.0,-0.30000000000000004,1.5,8.0,-4.300000000000002
13,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:31.642Z,camera,a,False,247.3,67.9,-5.7,0.7000000000000001,9.3,3.6,-0.4,-0.30000000000000004,0.0,-3.0,-2.9,0.5
14,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:31.844Z,camera,a,False,247.2,67.7,-5.800000000000002,0.7000000000000001,9.0,3.3000000000000003,-0.30000000000000004,0.1,0.30000000000000004,1.9,2.4000000000000004,-0.7
15,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:32.047Z,camera,a,False,247.4,67.7,-6.0,0.30000000000000004,9.1,3.8,0.1,0.0,-0.1,0.0,-1.1,2.3
16,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:32.248Z,camera,a,False,248.4,67.7,-6.7,0.5,9.0,3.5,0.0,0.1,0.2,-0.2,2.3,-1.0
17,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:32.448Z,camera,a,False,247.9,67.7,-6.2,0.5,9.1,3.9,-0.1,0.0,-0.2,1.2000000000000002,-0.30000000000000004,3.6000000000000005
18,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:32.649Z,camera,a,False,248.2,67.8,-6.4,0.6000000000000001,9.3,3.6,-0.2,-0.2,0.0,-0.9000000000000001,-0.2,-2.0
19,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:32.850Z,camera,a,False,247.0,67.7,-5.7,0.2,8.9,3.8,0.2,0.1,-0.1,-1.8000000000000005,-2.5,-4.1
20,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:56:33.051Z,camera,a,False,247.9,67.7,-7.300000000000002,0.6000000000000001,9.1,3.7,-0.2,0.0,0.0,0.0,-1.1,3.5
