,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:39.534Z,kanban,a,False,160.4,44.90000000000001,8.3,-0.8,6.9,6.5,-0.2,0.0,0.4,14.800000000000002,-4.7,-13.6
1,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:39.735Z,kanban,a,False,159.8,50.7,9.4,-1.1,7.4,6.1000000000000005,0.1,0.2,0.0,-27.9,11.8,-7.6
2,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:39.937Z,kanban,a,False,160.3,47.8,5.0,-0.6000000000000001,7.5,7.6,0.0,-0.2,-1.1,-5.7,-19.0,5.4
3,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:40.141Z,kanban,a,False,159.20000000000005,53.0,0.5,-0.30000000000000004,9.7,6.1000000000000005,0.2,-1.9,-0.2,40.0,-22.2,-3.8
4,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:40.342Z,kanban,a,False,157.8,66.4,-1.5,-0.4,10.0,3.2,0.5,-1.0,0.7000000000000001,61.0,17.5,6.300000000000002
5,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:40.544Z,kanban,a,False,155.20000000000005,78.4,3.0,0.1,9.5,1.2000000000000002,-0.2,0.1,0.8,50.1,-18.6,-10.7
6,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:40.744Z,kanban,a,False,133.5,83.2,23.200000000000006,-0.9,9.6,1.1,0.4,0.1,0.0,39.50000000000001,-50.5,-4.5
7,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:40.945Z,kanban,a,False,181.0,91.1,-28.9,0.2,9.0,0.8,-0.30000000000000004,0.8,-0.9,35.59999999999999,-31.8,0.0
8,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:41.146Z,kanban,a,False,143.70000000000005,95.5,8.4,0.1,9.1,-0.7000000000000001,0.1,0.6000000000000001,-0.4,32.5,-24.8,13.6
9,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:41.347Z,kanban,a,False,138.3,98.2,12.6,0.2,9.1,-1.4,0.1,0.6000000000000001,0.0,4.7,7.8,-4.7
10,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:41.548Z,kanban,a,False,136.9,99.4,13.3,0.9,9.5,-1.5,-0.5,0.2,0.0,-12.7,-11.5,-5.1000000000000005
11,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:41.752Z,kanban,a,False,149.4,96.9,-0.5,0.0,9.7,-0.7000000000000001,0.0,0.0,-0.5,-5.9,-5.6,-8.600000000000001
12,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:41.953Z,kanban,a,False,163.8,96.3,-14.9,-1.1,9.6,-1.0,0.8,0.2,0.0,-2.5,1.9,-3.6000000000000005
13,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:42.154Z,kanban,a,False,163.0,96.4,-13.3,-0.5,9.6,-1.2000000000000002,0.4,0.2,0.1,2.9,7.400000000000001,5.300000000000002
14,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:42.356Z,kanban,a,False,151.0,97.0,-0.6000000000000001,0.4,9.8,-1.7000000000000002,-0.4,-0.1,0.5,3.2,0.1,1.7
15,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:42.557Z,kanban,a,False,153.4,96.8,-3.3000000000000003,-0.2,9.5,-0.8,0.1,0.2,-0.30000000000000004,-3.9,1.5,0.0
16,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:42.758Z,kanban,a,False,151.0,96.6,-0.5,0.0,10.0,-0.9,0.0,-0.30000000000000004,-0.30000000000000004,-0.2,1.0,0.6000000000000001
17,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T07:03:42.960Z,kanban,a,False,149.5,96.6,1.2000000000000002,0.1,9.7,-0.9,-0.1,0.0,-0.2,0.7,0.2,2.9
