,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:25.070Z,camera,jgj,False,36.0,21.5,-1.5,0.7000000000000001,4.1000000000000005,9.3,0.5,0.5,0.1,7.0,6.0,-4.0
1,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:25.275Z,camera,jgj,False,33.0,26.5,3.3000000000000003,-0.2,4.4,9.1,0.4,0.0,0.30000000000000004,-3.9,14.0,4.4
2,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:25.479Z,camera,jgj,False,33.2,26.3,2.9000000000000004,-0.30000000000000004,4.5,9.0,0.30000000000000004,0.1,0.1,-5.0,2.2,-0.5
3,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:25.680Z,camera,jgj,False,33.1,27.1,2.6,-0.5,4.6000000000000005,8.4,0.1,0.1,-0.2,10.4,-1.7,-3.8
4,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:25.880Z,camera,jgj,False,34.2,32.4,1.0,0.1,7.7,8.700000000000001,0.5,2.5,0.30000000000000004,28.9,-8.5,14.800000000000002
5,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:26.081Z,camera,jgj,False,34.2,46.40000000000001,-0.30000000000000004,-0.9,7.0,8.700000000000001,-0.8,-0.30000000000000004,1.7000000000000002,91.8,-22.5,1.9
6,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:26.282Z,camera,jgj,False,35.0,63.0,-0.4,0.7000000000000001,7.9,5.5,0.9,-0.9,0.30000000000000004,48.70000000000001,-6.8,-11.000000000000002
7,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:26.483Z,camera,jgj,False,31.4,66.8,3.7,-0.30000000000000004,7.800000000000002,3.8,0.2,-1.3,-0.1,1.7,10.6,-7.400000000000001
8,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:26.684Z,camera,jgj,False,28.6,65.7,5.1000000000000005,-0.6000000000000001,8.4,4.3,-0.2,-0.6000000000000001,0.30000000000000004,-16.5,5.9,-5.2
9,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:26.885Z,camera,jgj,False,28.0,65.5,4.4,-0.1,8.9,4.1000000000000005,0.2,0.0,0.0,-7.200000000000001,5.7,0.2
10,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:27.086Z,camera,jgj,False,27.8,65.9,4.2,-0.6000000000000001,8.8,4.1000000000000005,-0.1,-0.1,0.30000000000000004,-0.4,3.7000000000000006,-8.0
11,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:27.287Z,camera,jgj,False,26.700000000000006,66.5,5.1000000000000005,-0.1,8.9,3.7,0.4,-0.1,-0.2,9.5,-9.4,1.7
12,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:27.488Z,camera,jgj,False,27.4,66.60000000000001,4.6000000000000005,-0.2,9.0,4.3,0.2,0.0,0.4,-1.3,-4.1,0.6000000000000001
13,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:27.689Z,camera,jgj,False,28.6,67.10000000000001,3.0,0.2,9.1,3.5,0.5,0.2,-0.1,11.000000000000002,-6.1000000000000005,2.3
14,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:27.890Z,camera,jgj,False,28.5,67.0,3.0,0.0,9.0,4.3,0.4,0.1,0.4,-6.4,-2.4000000000000004,0.30000000000000004
15,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:28.090Z,camera,jgj,False,28.9,67.2,2.6,0.5,9.1,3.9,0.7000000000000001,0.1,0.1,-1.6,2.6,-2.3
16,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:34:28.291Z,camera,jgj,False,29.1,67.10000000000001,2.5,0.2,9.0,3.9,0.4,0.0,0.1,6.500000000000001,-6.1000000000000005,5.2
