,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:04.633Z,kanban,っっっg,False,221.0,28.5,2.9000000000000004,-2.2,4.1000000000000005,8.4,-1.0,-0.30000000000000004,0.1,5.4,8.899999999999997,-16.3
1,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:04.834Z,kanban,っっっg,False,221.5,28.3,1.7000000000000002,-0.5,4.6000000000000005,8.8,-0.2,0.0,0.2,-3.0,-2.2,3.9
2,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:05.034Z,kanban,っっっg,False,221.5,28.200000000000006,1.7000000000000002,-0.2,4.6000000000000005,8.6,0.0,0.0,-0.2,3.4,-3.4,4.2
3,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:05.236Z,kanban,っっっg,False,221.7,28.1,1.7000000000000002,-0.1,4.7,8.700000000000001,-0.2,0.0,0.0,3.6000000000000005,-3.2,5.4
4,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:05.437Z,kanban,っっっg,False,221.5,29.0,1.6,-0.9,5.4,8.8,-0.7000000000000001,0.6000000000000001,0.2,4.6,-1.7,2.8
5,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:05.637Z,kanban,っっっg,False,224.2,41.1,-1.5,-0.5,10.3,10.9,-0.6000000000000001,3.6,3.1,101.7,2.5,6.699999999999998
6,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:05.838Z,kanban,っっっg,False,230.0,70.8,-8.6,0.7000000000000001,8.1,4.9,0.4,-1.8,2.0,181.9,-34.300000000000004,-1.8000000000000005
7,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:06.040Z,kanban,っっっg,False,247.1,92.9,-20.9,-1.0,6.1000000000000005,2.4000000000000004,-1.2000000000000002,-4.2,2.6,99.9,13.5,-20.9
8,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:06.246Z,kanban,っっっg,False,225.8,108.9,-1.1,-0.5,6.300000000000002,-2.6,-0.4,-3.1,0.8,54.3,-0.5,8.100000000000001
9,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:06.448Z,kanban,っっっg,False,219.0,115.8,4.5,0.5,7.9,-3.7,-0.1,-1.0,0.6000000000000001,10.8,0.2,9.7
10,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:06.649Z,kanban,っっっg,False,219.5,117.6,2.9000000000000004,-0.2,8.3,-4.7,-0.5,-0.4,-0.30000000000000004,-6.4,8.600000000000001,-4.7
11,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:06.849Z,kanban,っっっg,False,220.0,117.8,1.8,-0.4,8.5,-4.800000000000002,-0.6000000000000001,-0.1,-0.30000000000000004,-7.1000000000000005,13.000000000000002,-2.0
12,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:07.050Z,kanban,っっっg,False,220.9,118.4,0.7000000000000001,0.0,8.6,-5.0,-0.1,0.0,-0.4,1.3,2.4000000000000004,-2.7
13,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:07.251Z,kanban,っっっg,False,221.9,117.7,-0.7000000000000001,0.30000000000000004,8.700000000000001,-4.5,0.30000000000000004,0.1,0.0,5.7,1.6,6.8
14,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:07.452Z,kanban,っっっg,False,222.1,118.4,-0.6000000000000001,-0.1,8.6,-4.3,0.1,0.1,0.30000000000000004,-0.30000000000000004,3.8,4.7
15,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:07.652Z,kanban,っっっg,False,221.0,118.5,0.4,0.2,8.6,-4.800000000000002,0.1,0.0,-0.2,6.699999999999998,-4.7,4.1
16,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:07.853Z,kanban,っっっg,False,221.7,119.0,-0.2,-0.2,8.6,-5.1000000000000005,-0.2,0.1,-0.4,4.2,-4.0,0.9000000000000001
17,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:08.054Z,kanban,っっっg,False,222.4,119.2,-1.0,0.2,8.5,-4.7,0.1,0.0,0.1,-0.6000000000000001,-5.0,0.0
18,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 10,2020-11-06T07:53:08.255Z,kanban,っっっg,False,223.4,118.9,-1.7000000000000002,-0.2,8.5,-4.5,-0.1,0.0,0.1,1.0,-3.9,1.6
