,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:23.454Z,kanban,tttt,False,80.9,38.0,-9.1,1.3,5.6000000000000005,8.0,0.0,0.4,-0.4,5.8,1.5,-4.6
1,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:23.657Z,kanban,tttt,False,72.0,38.3,-1.7000000000000002,-0.1,6.2,7.2,0.30000000000000004,-0.1,0.5,-0.1,-9.2,-7.6
2,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:23.858Z,kanban,tttt,False,71.2,37.8,-0.7000000000000001,0.0,5.7,8.3,0.1,0.30000000000000004,-0.5,8.8,-3.3000000000000007,-8.3
3,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:24.060Z,kanban,tttt,False,69.9,38.1,-0.1,0.0,5.6000000000000005,8.200000000000001,0.1,0.5,-0.5,4.300000000000002,-8.8,-6.500000000000001
4,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:24.262Z,kanban,tttt,False,70.2,39.90000000000001,-3.1,0.5,6.6000000000000005,7.6,-0.1,-0.30000000000000004,-0.1,-3.5,1.1,-2.0
5,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:24.462Z,kanban,tttt,False,70.10000000000001,40.90000000000001,-3.7,0.8,6.2,8.0,-0.1,0.0,-0.4,8.600000000000001,-11.3,-3.0
6,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:24.666Z,kanban,tttt,False,69.9,41.3,-3.1,0.2,6.4,7.2,0.2,0.1,0.1,3.6000000000000005,0.4,-3.3000000000000007
7,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:24.867Z,kanban,tttt,False,69.7,42.0,-3.2,0.5,6.5,7.1000000000000005,-0.1,0.1,0.2,1.3,-0.6000000000000001,1.1
8,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:25.069Z,kanban,tttt,False,69.60000000000001,42.2,-2.6,0.30000000000000004,6.7,7.6,0.0,-0.1,-0.30000000000000004,-1.7,4.1,0.2
9,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:25.270Z,kanban,tttt,False,69.4,44.7,-3.1,0.0,8.3,8.6,0.4,-1.4,-1.7000000000000002,25.300000000000004,-5.4,-8.2
10,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:25.470Z,kanban,tttt,False,67.9,60.6,-5.6000000000000005,0.7000000000000001,9.6,7.800000000000002,-0.2,-1.1,-3.0,115.3,-47.90000000000001,-26.1
11,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:25.671Z,kanban,tttt,False,46.2,86.5,14.2,-1.3,8.0,0.9,1.2000000000000002,1.8,0.1,107.4,1.3,-19.0
12,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:25.872Z,kanban,tttt,False,61.3,107.6,-1.6,0.0,8.0,-2.8000000000000003,-0.1,1.5,0.1,92.1,-11.900000000000002,-2.2
13,Chrome Mobile,86.0.4240.110,,,Blink,[object Object],Chrome Mobile 86.0.4240.110 on Android 11,2020-11-06T07:47:26.073Z,kanban,tttt,False,59.7,117.3,-1.2000000000000002,-0.6000000000000001,7.2,-4.6000000000000005,0.5,1.5,0.2,30.7,-15.3,7.200000000000001
