,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:35.391Z,camera,B7,False,109.3,17.8,6.0,-1.1,3.3000000000000003,9.6,-0.1,0.30000000000000004,0.2,-0.2,4.4,-1.9
1,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:35.624Z,camera,B7,False,101.1,60.6,7.300000000000002,-0.4,8.6,4.2,0.2,-0.1,-0.6000000000000001,9.0,-12.6,6.600000000000001
2,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:35.832Z,camera,B7,False,101.8,59.6,6.5,-0.4,8.3,5.0,0.2,-0.2,0.1,4.1,-1.6,4.6
3,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:36.033Z,camera,B7,False,102.1,59.5,6.0,-0.4,8.4,4.6000000000000005,0.1,-0.1,-0.4,-3.5,-3.0,-1.6
4,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:36.234Z,camera,B7,False,102.5,58.1,5.1000000000000005,-0.6000000000000001,8.4,5.4,-0.1,0.1,0.30000000000000004,-10.3,2.1,-1.7
5,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:36.436Z,camera,B7,False,103.4,57.90000000000001,4.2,-0.30000000000000004,8.3,5.1000000000000005,0.1,-0.1,-0.1,1.2000000000000002,1.4,0.1
6,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:36.646Z,camera,B7,False,103.4,57.5,3.8,-0.4,8.4,5.300000000000002,0.0,0.0,0.0,-0.1,-3.4,-1.6
7,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:36.847Z,camera,B7,False,103.6,57.7,3.0,-0.30000000000000004,8.3,5.0,0.0,0.0,-0.30000000000000004,0.8,-4.0,0.9000000000000001
8,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:37.047Z,camera,B7,False,103.7,58.0,2.6,-0.2,8.3,4.9,0.0,0.0,-0.4,2.8,-1.2000000000000002,-1.0
9,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:37.248Z,camera,B7,False,103.8,57.90000000000001,2.2,-0.30000000000000004,8.3,5.1000000000000005,-0.1,0.0,-0.1,2.5,-1.5,2.3
10,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:37.449Z,camera,B7,False,104.0,58.1,2.0,-0.2,8.3,5.2,-0.1,-0.1,0.0,0.1,-0.6000000000000001,0.1
11,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:37.650Z,camera,B7,False,104.1,58.2,2.0,-0.2,8.4,4.9,0.0,0.0,-0.30000000000000004,2.5,1.5,2.0
12,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:37.850Z,camera,B7,False,104.4,58.2,1.9,0.0,8.3,5.2,0.2,-0.1,0.0,-5.6,1.0,-1.0
13,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:38.051Z,camera,B7,False,103.8,57.6,3.4000000000000004,-0.30000000000000004,8.4,5.2,0.0,0.1,0.0,2.1,-7.0,5.2
14,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:38.252Z,camera,B7,False,103.5,57.5,4.2,-0.6000000000000001,8.3,5.2,-0.2,0.0,0.0,-1.1,2.9,-1.3
15,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:40:38.453Z,camera,B7,False,103.8,58.1,5.2,-0.4,8.3,5.1000000000000005,0.1,-0.1,-0.1,18.6,-7.400000000000001,3.8
