,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:48:47.081Z,kanban,ka,False,75.3,78.10000000000002,31.8,-0.8,9.5,1.7000000000000002,0.2,0.0,0.0,-3.0,-10.4,3.2
1,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:48:47.286Z,kanban,ka,False,85.4,120.7,2.8000000000000003,0.30000000000000004,8.200000000000001,-4.9,0.1,-0.1,0.0,-2.7,-0.6000000000000001,-0.4
2,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:48:47.487Z,kanban,ka,False,85.60000000000002,120.6,2.7,0.30000000000000004,8.0,-4.800000000000002,0.1,-0.2,0.0,0.0,-2.1,0.8
3,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:48:47.687Z,kanban,ka,False,85.7,120.8,2.7,0.2,8.0,-4.9,0.0,-0.2,-0.1,0.30000000000000004,1.1,0.0
4,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:48:47.888Z,kanban,ka,False,85.2,120.8,3.4000000000000004,0.5,8.200000000000001,-4.9,0.30000000000000004,0.0,-0.1,-1.7,0.9000000000000001,-0.8
5,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:48:48.091Z,kanban,ka,False,85.5,120.3,3.5,0.1,8.4,-4.6000000000000005,-0.2,0.2,0.2,-0.8,-1.4,-1.2000000000000002
6,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:48:48.304Z,kanban,ka,False,85.5,120.3,3.8,0.30000000000000004,8.200000000000001,-4.7,0.0,0.0,0.1,-0.4,-1.4,1.0
7,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:48:48.505Z,kanban,ka,False,85.5,120.4,3.8,0.30000000000000004,8.200000000000001,-4.9,0.0,0.0,-0.1,-1.8000000000000005,-2.5,2.0
8,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:48:48.706Z,kanban,ka,False,85.10000000000002,120.4,3.8,0.30000000000000004,8.1,-4.9,-0.1,-0.1,-0.1,0.6000000000000001,-1.1,-0.30000000000000004
9,Chrome Mobile,86.0.4240.185,Asus X01AD,Asus,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Asus X01AD (Android 9),2020-11-06T07:48:48.907Z,kanban,ka,False,84.9,120.4,4.0,0.5,8.3,-4.7,0.2,0.1,0.1,0.4,0.0,2.0
