platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:40.609Z,着席,大学,false,82,52.2,22.8,-2.5,7.9,4.2,-0.30000000000000004,0.2,-1.2000000000000002,-4.7,-17,10.200000000000001
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:40.830Z,着席,大学,false,88.4,44.7,7.2,-1.1,6.6000000000000005,6.6000000000000005,-0.2,-0.30000000000000004,-0.30000000000000004,-0.2,-9.2,-2.6
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:41.040Z,着席,大学,false,87.80000000000001,43.300000000000004,5.9,-0.9,6.7,6.800000000000001,-0.2,0,-0.1,-17.799999999999997,-11.1,-5.300000000000001
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:41.252Z,着席,大学,false,88,40.6,4.5,-0.5,6.4,7.7,0.1,0,0.1,-3.8,-6.2,0.5
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:41.466Z,着席,大学,false,87.7,40.800000000000004,4,-0.6000000000000001,6.4,7.300000000000001,0,0.1,-0.1,-2.5,-0.5,1.7
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:41.677Z,着席,大学,false,87.7,40.800000000000004,3.5,-0.30000000000000004,6.5,6.6000000000000005,0.2,0.1,-0.9,10.600000000000001,0,4
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:41.892Z,着席,大学,false,87.80000000000001,40.7,3.5,-0.4,6.5,7.800000000000001,0.1,0.1,0.4,9,-1.1,-0.2
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:42.102Z,着席,大学,false,87.60000000000001,41.7,2.5,-1.1,6.5,6.7,-0.8,0,-0.5,-3.5,-14.100000000000001,8
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:42.321Z,着席,大学,false,89,40.900000000000006,-1.5,1.4000000000000001,6.4,6.6000000000000005,1,0.2,-0.7000000000000001,-20.2,-3.7000000000000006,-5.500000000000001
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:42.527Z,着席,大学,false,86.30000000000001,44.1,-1.1,-0.1,6.1000000000000005,6.4,-0.30000000000000004,-0.9,-0.6000000000000001,-19.5,-10.9,7.699999999999999
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:42.743Z,着席,大学,false,84.9,45.2,-1.2000000000000002,0.5,7.1000000000000005,7.1000000000000005,0.30000000000000004,0.1,0.4,2.3,-5.300000000000001,0.1
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:42.956Z,着席,大学,false,85.2,48.1,-0.4,0,7.4,6.9,0,0,0.5,21,15.899999999999999,0.2
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:43.183Z,着席,大学,false,86.7,45.2,1.1,0.1,6.800000000000001,7.800000000000001,0.30000000000000004,-0.2,1,-16.3,7.300000000000001,3.7000000000000006
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:43.390Z,着席,大学,false,87,45.300000000000004,2.1,-0.30000000000000004,7,6.300000000000001,0,0.1,-0.9,-2.6,-5.9,-3.9
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:43.596Z,着席,大学,false,85.9,44.1,2.8000000000000003,-0.6000000000000001,6.300000000000001,7.1000000000000005,-0.2,-0.6000000000000001,0.2,6.500000000000001,2.9,-0.30000000000000004
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:43.799Z,着席,大学,false,87.2,44.5,1.3,-0.30000000000000004,6.5,6.6000000000000005,-0.1,-0.4,-0.4,-3.4,-3.5,-1.9
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:44.010Z,着席,大学,false,87.10000000000001,44,2.6,-0.1,6.4,8.3,0.1,-0.2,1,-5.8,-20.3,11.900000000000002
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:44.213Z,着席,大学,false,88.60000000000001,44.400000000000006,1.4000000000000001,-0.1,6.300000000000001,8,0.1,-0.6000000000000001,1,-2.9,-2.8,-8.700000000000001
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:44.414Z,着席,大学,false,89.2,44.5,0.2,-0.5,6.800000000000001,7.300000000000001,-0.5,0,0.30000000000000004,-5.2,-1.2000000000000002,-5.4
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:44.619Z,着席,大学,false,89.30000000000001,45.1,0.1,0.2,7,6.800000000000001,0.2,0.1,-0.2,0.5,-1.3,-2.3
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:44.823Z,着席,大学,false,89,45,0.1,0,6.9,6.5,0,-0.1,-0.30000000000000004,4.2,-1,1.5
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:45.026Z,着席,大学,false,89.5,45.1,-0.5,0.30000000000000004,6.800000000000001,6.9,0.2,-0.2,0,2,-1.8000000000000003,2.7
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:45.237Z,着席,大学,false,89.4,45,-0.5,-0.1,6.9,7,-0.1,0,0.2,-0.7,1.1,-2.9
Chrome Mobile,83.0.4103.106,,,Blink,[object Object],Chrome Mobile 83.0.4103.106 on Android 10,2020-07-06T05:32:45.438Z,着席,大学,false,89.30000000000001,45.2,-0.4,0.1,6.9,6.800000000000001,0,-0.1,-0.1,-0.7,-0.9000000000000001,0
